Title,Year,Rating,Vote Count,Language
Tune in for Love,2019,7.777,307,ko
Dune,2021,7.777,14176,en
The Summit of the Gods,2021,7.8,388,fr
Rififi,1955,7.8,609,fr
Polisse,2011,7.774,1277,fr
Back to the Future Part II,1989,7.774,13505,en
A Short Film About Love,1988,7.768,399,pl
Through a Glass Darkly,1961,7.8,520,sv
Wings of Desire,1987,7.773,1440,de
Frankenstein,2025,7.773,2136,en
The First Slam Dunk,2022,7.772,497,ja
Awakenings,1990,7.8,2736,en
Forbidden Games,1952,7.8,336,fr
Z,1969,7.771,590,fr
Do the Right Thing,1989,7.8,1908,en
One Life,2023,7.77,883,en
Letter from an Unknown Woman,1948,7.769,324,en
The Last Laugh,1924,7.768,336,de
Donnie Darko,2001,7.767,13029,en
My Fault,2023,7.766,3934,es
The Ten Commandments,1956,7.766,1769,en
The Dinner Game,1998,7.764,2005,fr
Ernest & Celestine,2012,7.8,651,fr
Short Term 12,2013,7.762,1369,en
Le Samouraï,1967,7.8,1195,fr
A Man Called Otto,2022,7.76,3342,en
Touch of Evil,1958,7.8,1534,en
Nine Queens,2000,7.8,774,es
Ip Man,2008,7.76,3973,cn
Ninja Scroll,1993,7.76,705,ja
The King and the Mockingbird,1980,7.759,401,fr
In the Arms of an Assassin,2019,7.8,428,es
Never Look Away,2018,7.8,723,de
Pan's Labyrinth,2006,7.758,11134,es
Life of Brian,1979,7.758,4720,en
Dogville,2003,7.8,2582,en
A Walk to Remember,2002,7.757,4183,en
Emancipation,2022,7.8,1201,en
The Hateful Eight,2015,7.756,14841,en
Zootopia,2016,7.756,17246,en
Angel's Egg,1985,7.746,506,ja
The Untouchables,1987,7.756,5991,en
Partly Cloudy,2009,7.755,1071,en
Day for Night,1973,7.8,633,fr
Shrek,2001,7.754,18160,en
Amour,2012,7.753,1716,fr
Big Fish,2003,7.753,7535,en
A Matter of Life and Death,1946,7.8,446,en
Ponyo,2008,7.751,4607,ja
Rain Man,1988,7.752,6780,en
All Quiet on the Western Front,1930,7.8,881,en
Words on Bathroom Walls,2020,7.75,643,en
How to Train Your Dragon: The Hidden World,2019,7.75,6873,en
The Chaser,2008,7.8,1442,ko
The Heist of the Century,2020,7.748,825,es
God's Own Country,2017,7.748,956,en
Train to Busan,2016,7.748,8059,ko
Notorious,1946,7.7,1681,en
Instructions Not Included,2013,7.7,938,es
Batman: Under the Red Hood,2010,7.7,1678,en
Misery,1990,7.7,4975,en
Luck,2022,7.746,1867,en
Platoon,1986,7.746,4875,en
RRR,2022,7.744,1482,te
Cool Hand Luke,1967,7.7,1537,en
Shelter,2007,7.743,491,en
Crooks in Clover,1963,7.742,536,fr
The Color Purple,1985,7.742,1899,en
Mystic River,2003,7.742,7159,en
My Mom Is a Character,2013,7.741,677,pt
Ali: Fear Eats the Soul,1974,7.741,436,de
Fiddler on the Roof,1971,7.74,609,en
The Exorcist,1973,7.74,8366,en
PlayTime,1967,7.739,622,fr
The Normal Heart,2014,7.738,898,en
Harry Potter and the Deathly Hallows: Part 1,2010,7.738,19899,en
The Bad Guys 2,2025,7.7,556,en
Nothing Left to Do But Cry,1984,7.737,1165,it
Gran Turismo,2023,7.736,3185,en
The King's Speech,2010,7.735,9071,en
Annie Hall,1977,7.735,4104,en
Deep Red,1975,7.7,1549,it
Straight Outta Nowhere: Scooby-Doo! Meets Courage the Cowardly Dog,2021,7.7,393,en
Let the Bullets Fly,2010,7.733,330,zh
Guy Ritchie's The Covenant,2023,7.732,2962,en
Marriage Story,2019,7.732,7221,en
Two Is a Family,2016,7.732,3025,fr
The Leopard,1963,7.7,904,it
"Batman: The Dark Knight Returns, Part 1",2012,7.73,1664,en
The Red Balloon,1956,7.7,423,fr
The Chorus,2004,7.73,2525,fr
Rush,2013,7.729,7568,en
Beauty and the Beast,1991,7.7,10391,en
Everything Everywhere All at Once,2022,7.728,7473,en
Mustang,2015,7.728,1419,tr
Slumdog Millionaire,2008,7.728,11014,en
Big Hero 6,2014,7.727,16200,en
The Breakfast Club,1985,7.727,8326,en
Magnolia,1999,7.7,3818,en
Safety Last!,1923,7.7,551,en
The Sound of Music,1965,7.7,3486,en
Rurouni Kenshin: The Final,2021,7.724,523,ja
Rurouni Kenshin Part III: The Legend Ends,2014,7.724,539,ja
Three Steps Above Heaven,2010,7.724,3161,es
All Quiet on the Western Front,2022,7.723,4405,de
Under the Same Moon,2007,7.722,302,es
The Blues Brothers,1980,7.722,4423,en
The Straight Story,1999,7.722,1704,en
Good Morning,1959,7.7,301,ja
Underground,1995,7.721,733,sr
Red Shoes and the Seven Dwarfs,2019,7.714,1115,ko
Don't Blame the Kid,2016,7.72,656,es
The Incredibles,2004,7.7,18447,en
Edward Scissorhands,1990,7.72,13444,en
Batman Begins,2005,7.719,22010,en
Maudie,2016,7.718,550,en
Kwaidan,1965,7.718,429,ja
Manhattan,1979,7.718,2531,en
Hustle,2022,7.717,2720,en
Past Lives,2023,7.7,2101,en
John Wick: Chapter 4,2023,7.717,7513,en
Vivre Sa Vie,1962,7.7,677,fr
Cowboy Bebop: The Movie,2001,7.7,984,ja
Hotel Rwanda,2004,7.715,3033,en
Philadelphia,1993,7.714,4470,en
Who's Afraid of Virginia Woolf?,1966,7.7,873,en
The Celebration,1998,7.711,1194,da
"I, Daniel Blake",2016,7.71,1485,en
The Ox-Bow Incident,1943,7.7,415,en
BPM (Beats per Minute),2017,7.709,1368,fr
The Bridges of Madison County,1995,7.709,2287,en
Officer Black Belt,2024,7.7,322,ko
Nightcrawler,2014,7.707,11359,en
Accattone,1961,7.7,501,it
The Maltese Falcon,1941,7.7,1803,en
Sound of Metal,2020,7.706,2717,en
My Little Pony: A New Generation,2021,7.7,324,en
Marriage Italian Style,1964,7.7,530,it
Mother,2009,7.7,1617,ko
Dreams,1990,7.705,523,ja
Mysterious Skin,2005,7.7,1197,en
Harry Potter and the Chamber of Secrets,2002,7.704,23030,en
The Seven Deadly Sins: Cursed by Light,2021,7.702,507,ja
Day & Night,2010,7.702,924,en
Azur & Asmar: The Princes' Quest,2006,7.7,652,fr
The Promised Land,2023,7.701,484,da
The Big Bad Fox and Other Tales,2017,7.701,306,fr
The Man from Nowhere,2010,7.7,1415,ko
Monsieur Verdoux,1947,7.7,452,en
Knockin' on Heaven's Door,1997,7.7,557,de
For Love and Gold,1966,7.699,380,it
Alice in the Cities,1974,7.699,324,de
PK,2014,7.698,1085,hi
White Snake,2019,7.697,529,zh
The Sacrifice,1986,7.697,582,sv
The Searchers,1956,7.697,1520,en
Brief Encounter,1945,7.7,672,en
Stalag 17,1953,7.7,637,en
Cousins,2019,7.7,347,pt
Hiroshima Mon Amour,1959,7.7,885,fr
Jean de Florette,1986,7.693,594,fr
"Duck, You Sucker",1971,7.693,1139,it
Little Eggs: A Frozen Rescue,2022,7.7,360,es
Holding the Man,2015,7.691,453,en
The Martian,2015,7.691,20634,en
Pride,2014,7.691,1374,en
Selena,1997,7.7,1286,en
If Anything Happens I Love You,2020,7.69,959,en
Rich in Love,2020,7.69,627,pt
Constantine: City of Demons - The Movie,2018,7.69,638,en
Little Miss Sunshine,2006,7.69,7567,en
The Princess Bride,1987,7.689,4884,en
Sword Art Online: The Movie – Ordinal Scale,2017,7.688,723,ja
"Like Father, Like Son",2013,7.688,769,ja
"No manches, Frida",2016,7.7,930,es
Fabricated City,2017,7.686,336,ko
The Broken Circle Breakdown,2012,7.7,1103,nl
Spirit: Stallion of the Cimarron,2002,7.686,4794,en
Black Swan,2010,7.685,15163,en
The Outlaws,2017,7.688,491,ko
L'Eclisse,1962,7.684,515,it
The Killer,2022,7.7,397,ko
Mississippi Burning,1988,7.7,1838,en
Ordinary Angels,2024,7.682,325,en
Fireworks,1997,7.682,740,ja
The Young Girls of Rochefort,1967,7.7,637,fr
Harry Potter and the Half-Blood Prince,2009,7.682,20295,en
Jaws,1975,7.7,11164,en
Embrace of the Serpent,2015,7.681,488,es
Fried Green Tomatoes,1991,7.681,1415,en
Entergalactic,2022,7.68,460,en
Divines,2016,7.68,674,fr
Kabhi Khushi Kabhie Gham,2001,7.7,581,hi
Boys,2014,7.7,717,nl
My Night at Maud's,1969,7.7,344,fr
The Hustler,1961,7.679,1030,en
How to Train Your Dragon 2,2014,7.677,10130,en
12 Angry Men,1997,7.677,413,en
Harvey,1950,7.7,656,en
Onibaba,1964,7.7,455,ja
The Children's Hour,1961,7.7,383,en
Sleuth,1972,7.7,670,en
Aftersun,2022,7.675,1682,en
Prey,2022,7.7,7383,en
My Mom Is a Character 2,2016,7.674,521,pt
Moonrise Kingdom,2012,7.7,6142,en
A Charlie Brown Christmas,1965,7.674,740,en
The Warriors,1979,7.674,2274,en
Harry Potter and the Order of the Phoenix,2007,7.674,20327,en
The Terminator,1984,7.674,14027,en
The Blind Side,2009,7.674,6659,en
Scooby-Doo on Zombie Island,1998,7.7,811,en
The Count of Monte Cristo,2002,7.673,1931,en
Descendants 3,2019,7.672,1584,en
Taste of Cherry,1997,7.7,668,fa
Brazil,1985,7.7,3548,en
Zootopia 2,2025,7.671,495,en
Bacurau,2019,7.67,1096,pt
Nosferatu,1922,7.7,2353,de
The Gentlemen,2020,7.669,6300,en
Free Fall,2013,7.668,822,de
October Sky,1999,7.7,1358,en
The World's Fastest Indian,2005,7.669,838,en
The Trial of the Chicago 7,2020,7.668,3228,en
Marcel the Shell with Shoes On,2022,7.7,650,en
Rurouni Kenshin: The Beginning,2021,7.667,511,ja
Strangers on a Train,1951,7.7,1799,en
The Gorge,2025,7.666,3210,en
Charade,1963,7.7,1471,en
Better Man,2024,7.664,742,en
Belle,2021,7.664,820,ja
Fireproof,2008,7.664,825,en
The Secret World of Arrietty,2010,7.7,3034,ja
What's Eating Gilbert Grape,1993,7.662,4140,en
Fallen Angels,1995,7.7,1209,cn
Cast Away,2000,7.661,11928,en
"Germany, Year Zero",1948,7.7,407,it
The Batman,2022,7.66,11412,en
Father There Is Only One,2019,7.7,756,es
Inherit the Wind,1960,7.659,443,en
High Noon,1952,7.7,1520,en
Ask Me If I'm Happy,2000,7.658,1692,it
Poor Things,2023,7.656,5118,en
Lucky and Zorba,1998,7.7,626,it
Primal Fear,1996,7.7,3703,en
"Black Cat, White Cat",1998,7.7,780,sr
The Holdovers,2023,7.655,2236,en
The Traitor,2019,7.655,1397,it
Ricky Gervais: Humanity,2018,7.655,489,en
Captain America: The Winter Soldier,2014,7.655,19544,en
The Big Heat,1953,7.7,529,en
Tetris,2023,7.654,1596,en
Iron Man,2008,7.654,27500,en
Aladdin,1992,7.7,11700,en
Cléo from 5 to 7,1962,7.654,745,fr
All the President's Men,1976,7.654,1977,en
Hunt for the Wilderpeople,2016,7.652,2205,en
In the Heat of the Night,1967,7.7,1179,en
Memoirs of a Geisha,2005,7.7,3267,en
Onward,2020,7.651,6415,en
Tangerines,2013,7.651,564,et
The Killing,1956,7.651,1648,en
White Heat,1949,7.6,510,en
Back to the Outback,2021,7.646,765,en
Mickey's Christmas Carol,1983,7.646,955,en
Batman and Superman: Battle of the Super Sons,2022,7.645,335,en
Remember the Titans,2000,7.645,2823,en
The Conformist,1971,7.6,730,it
Sonic the Hedgehog 3,2024,7.644,3044,en
Planet of the Apes,1968,7.643,3796,en
Laurence Anyways,2012,7.6,880,fr
Kind Hearts and Coronets,1949,7.642,578,en
I Vitelloni,1953,7.6,712,it
Out of the Past,1947,7.6,625,en
Cat on a Hot Tin Roof,1958,7.641,800,en
A Dog's Purpose,2017,7.6,3453,en
Vampire Hunter D: Bloodlust,2001,7.6,745,ja
Viridiana,1962,7.6,534,es
Arsenic and Old Lace,1944,7.6,993,en
Breakthrough,2019,7.6,1129,en
Threads,1984,7.638,374,en
Atonement,2007,7.638,4530,en
Three Colors: Blue,1993,7.638,1815,fr
Godzilla,1954,7.6,1060,ja
Another Round,2020,7.636,3585,da
A Million Miles Away,2023,7.635,493,en
The Woman King,2022,7.633,2275,en
All the Bright Places,2020,7.635,2957,en
Dog Man,2025,7.634,310,en
The Banker,2020,7.6,1038,en
System Crasher,2019,7.634,363,de
Time of the Gypsies,1988,7.634,413,sh
Edge of Tomorrow,2014,7.633,14599,en
The Graduate,1967,7.6,3555,en
Shottas,2002,7.633,353,en
The Spirit of the Beehive,1973,7.633,380,es
Kubo and the Two Strings,2016,7.6,3717,en
Geri's Game,1997,7.6,1180,en
Bad Seeds,2018,7.6,616,fr
Berserk: The Golden Age Arc III - The Advent,2013,7.6,384,ja
Boogie Nights,1997,7.6,3394,en
Breakfast at Tiffany's,1961,7.63,4370,en
All About My Mother,1999,7.63,1987,es
Fantastic Planet,1973,7.6,1053,fr
Amores Perros,2000,7.629,2797,es
Corpus Christi,2019,7.6,577,pl
The Longest Ride,2015,7.6,3263,en
Mad Max: Fury Road,2015,7.629,23550,en
The Man from Earth,2007,7.627,2751,en
Roma,2018,7.6,4028,es
Stand and Deliver,1988,7.626,419,en
Laura,1944,7.626,867,en
Boyz n the Hood,1991,7.624,2143,en
Andhadhun,2018,7.624,581,hi
"Miraculous: Ladybug & Cat Noir, The Movie",2023,7.617,930,fr
Mediterraneo,1991,7.624,1034,it
Arrival,2016,7.623,18767,en
The Lost Weekend,1945,7.623,636,en
My Friends Act II,1982,7.6,355,it
Il Divo,2008,7.623,1153,it
"Quo Vadis, Aida?",2021,7.622,452,sr
One Cut of the Dead,2017,7.622,933,ja
Deadpool,2016,7.623,32117,en
Get Out,2017,7.621,18339,en
Kingsman: The Secret Service,2015,7.6,17418,en
Eddie Murphy: Delirious,1983,7.6,335,en
Fitzcarraldo,1982,7.6,838,de
The Kissing Booth 2,2020,7.618,5085,en
Detachment,2011,7.6,1886,en
I'm Starting from Three,1981,7.619,690,it
A Streetcar Named Desire,1951,7.6,1431,en
Groundhog Day,1993,7.619,8531,en
My Policeman,2022,7.618,740,en
The Turin Horse,2011,7.6,390,hu
Sniper: The White Raven,2022,7.617,842,uk
A Little Princess,1995,7.617,1014,en
The Fall,2006,7.617,1436,en
Eat Drink Man Woman,1994,7.6,379,zh
A Short Film About Killing,1988,7.6,379,pl
Mortal Kombat Legends: Battle of the Realms,2021,7.6,468,en
The Others,2001,7.6,6920,en
Stagecoach,1939,7.6,1185,en
Giant,1956,7.6,726,en
Blue Velvet,1986,7.6,3649,en
Demon Slayer: Kimetsu no Yaiba Infinity Castle,2025,7.6,592,ja
The Eight Mountains,2022,7.6,783,it
Dave Chappelle: Sticks & Stones,2019,7.612,352,en
Forever My Girl,2018,7.612,1325,en
Dragon Ball Z: The History of Trunks,1993,7.612,574,ja
Maurice,1987,7.612,584,en
King Richard,2021,7.611,2714,en
Guardians of the Galaxy Vol. 2,2017,7.612,22434,en
The Little Prince,2015,7.61,2894,en
Avatar: The Way of Water,2022,7.6,13120,en
The Tenant,1976,7.6,1195,en
Night of the Living Dead,1968,7.6,2625,en
Children of Men,2006,7.611,7560,en
Mildred Pierce,1945,7.61,426,en
"tick, tick... BOOM!",2021,7.609,2222,en
The Anthem of the Heart,2015,7.6,422,ja
Tangled,2010,7.609,12025,en
Butch Cassidy and the Sundance Kid,1969,7.609,2366,en
The Servant,1963,7.6,360,en
A Man Called Ove,2015,7.606,1247,sv
Anastasia,1997,7.6,5491,en
The Wild Bunch,1969,7.605,1277,en
The Raid 2,2014,7.605,2495,id
The Last Picture Show,1971,7.6,734,en
Toy Story 2,1999,7.6,14493,en
Battleship Potemkin,1925,7.604,1245,ru
Lilya 4-ever,2002,7.6,626,sv
Seven Pounds,2008,7.603,7041,en
The Longest Day,1962,7.603,988,en
JFK,1991,7.603,2297,en
The Super Mario Bros. Movie,2023,7.602,10111,en
"They Shoot Horses, Don't They?",1969,7.6,344,en
The Big Sleep,1946,7.602,1107,en
Sleepers,1996,7.602,3723,en
Twelve Monkeys,1995,7.602,8797,en
Sin Nombre,2009,7.6,728,es
Harold and Maude,1971,7.6,1158,en
King Kong,1933,7.6,1560,en
Victoria,2015,7.599,1294,de
"Steamboat Bill, Jr.",1928,7.599,373,en
Le Cercle Rouge,1970,7.599,694,fr
The Killer,1989,7.6,850,cn
Meshes of the Afternoon,1943,7.6,417,en
In a Lonely Place,1950,7.6,637,en
Barbie in the 12 Dancing Princesses,2006,7.598,1225,en
Billy Elliot,2000,7.6,3980,en
The Last Samurai,2003,7.597,7271,en
Courageous,2011,7.6,389,en
To All the Boys I've Loved Before,2018,7.595,8615,en
The Fault in Our Stars,2014,7.595,11407,en
The Curious Case of Benjamin Button,2008,7.595,13373,en
"Paul, Apostle of Christ",2018,7.594,390,en
Avatar,2009,7.594,32888,en
The Ultimate Gift,2007,7.6,477,en
Thelma & Louise,1991,7.594,3711,en
Godzilla Minus One,2023,7.6,2898,ja
The Dirty Dozen,1967,7.593,1268,en
Apocalypto,2006,7.593,5963,en
Elevator to the Gallows,1958,7.6,664,fr
Elemental,2023,7.591,5048,en
My Hero Academia: World Heroes' Mission,2021,7.591,596,ja
Barfi!,2012,7.591,346,hi
Evangelion: 1.0 You Are (Not) Alone,2007,7.591,1037,ja
The Wizard of Oz,1939,7.591,5911,en
Wrath of Man,2021,7.59,5830,en
Being There,1979,7.6,1072,en
American Gangster,2007,7.59,5797,en
10 Things I Hate About You,1999,7.59,8633,en
Drishyam,2015,7.6,454,hi
Rurouni Kenshin Part II: Kyoto Inferno,2014,7.589,626,ja
Hair Love,2019,7.6,479,en
Sweet Smell of Success,1957,7.588,552,en
Blade Runner 2049,2017,7.587,14576,en
Beasts of No Nation,2015,7.587,1812,en
The Big Country,1958,7.6,390,en
The Last Emperor,1987,7.586,1828,en
Ride Your Wave,2019,7.585,357,ja
Ready Player One,2018,7.585,16406,en
Corpse Bride,2005,7.585,9901,en
The Garden of Words,2013,7.584,2139,ja
Thor: Ragnarok,2017,7.583,21544,en
Drive,2011,7.583,13217,en
Zindagi Na Milegi Dobara,2011,7.6,387,hi
Scarlet Street,1945,7.6,410,en
Carandiru,2003,7.583,581,pt
Changeling,2008,7.6,4365,en
The Irishman,2019,7.582,7243,en
Eyes Without a Face,1960,7.6,774,fr
The Philadelphia Story,1940,7.6,933,en
Gladiator,1992,7.6,376,en
Steins;Gate: The Movie - Load Region of Déjà Vu,2013,7.6,377,ja
Who Am I,2014,7.579,1648,de
The Fabelmans,2022,7.577,2603,en
Heroic Losers,2019,7.578,591,es
Encanto,2021,7.577,9944,en
Manon of the Spring,1986,7.6,548,fr
Arthur the King,2024,7.577,871,en
I Still Believe,2020,7.6,1207,en
A Prophet,2009,7.6,1658,fr
Tombstone,1993,7.577,2324,en
Confessions,2010,7.6,932,ja
Talk to Her,2002,7.576,1382,es
Girl in the Basement,2021,7.574,801,en
I Origins,2014,7.6,3363,en
The Hobbit: The Desolation of Smaug,2013,7.574,13774,en
Coach Carter,2005,7.574,3166,en
The Diving Bell and the Butterfly,2007,7.574,1227,fr
Purple Noon,1960,7.573,572,fr
The Sicilian Clan,1969,7.6,351,fr
Ferris Bueller's Day Off,1986,7.572,5200,en
Ex Machina,2015,7.571,13859,en
The Butterfly Effect,2004,7.571,7929,en
Guess Who's Coming to Dinner,1967,7.571,883,en
Searching,2018,7.569,4078,en
Spies in Disguise,2019,7.569,2900,en
"Girl, Interrupted",1999,7.569,4024,en
Les Misérables,2019,7.568,1576,fr
Brother,1997,7.568,431,ru
The Sea Inside,2004,7.568,973,es
Feel the Beat,2020,7.567,1145,en
Deadpool & Wolverine,2024,7.568,7999,en
Casino Royale,2006,7.6,11289,en
The Game,1997,7.567,7051,en
A Close Shave,1996,7.6,885,en
Cinderella Man,2005,7.566,2320,en
Our Little Sister,2015,7.6,528,ja
Moana,2016,7.6,13401,en
Kramer vs. Kramer,1979,7.6,2362,en
Moon,2009,7.564,6037,en
Imagine Me & You,2006,7.6,1081,en
Lilo & Stitch,2002,7.563,6887,en
Dolls,2002,7.6,341,ja
Secrets & Lies,1996,7.6,696,en
Hot Fuzz,2007,7.562,8022,en
The Fifth Element,1997,7.562,11306,fr
Treasure Planet,2002,7.561,4457,en
Gattaca,1997,7.6,6686,en
Yu-Gi-Oh!: The Dark Side of Dimensions,2016,7.56,453,ja
Facing the Giants,2006,7.561,482,en
Bao,2018,7.559,1261,en
Halloween,1978,7.6,5988,en
Big George Foreman,2023,7.6,328,en
Trollhunters: Rise of the Titans,2021,7.6,345,en
Happy Together,1997,7.6,764,cn
Godzilla vs. Kong,2021,7.6,10391,en
The Danish Girl,2015,7.556,5870,en
What We Do in the Shadows,2014,7.557,3776,en
The Emperor's New Groove,2000,7.6,7088,en
Mary Poppins,1964,7.556,4872,en
Poetry,2010,7.555,320,ko
Dragon Ball Z: Bardock - The Father of Goku,1990,7.555,748,ja
I Am Sam,2001,7.556,2406,en
Gandhi,1982,7.555,2423,en
Sword of the Stranger,2007,7.553,449,ja
Mira,2022,7.6,382,ru
Desert Flower,2009,7.552,456,en
Blood Diamond,2006,7.552,8053,en
Inside Out 2,2024,7.549,6288,en
Pandora,2016,7.5,497,ko
The Snowman,1982,7.5,327,en
They Call Me Trinity,1970,7.55,1391,it
Let the Right One In,2008,7.548,3126,sv
The Black Phone,2022,7.547,5538,en
Beautiful Boy,2018,7.5,2759,en
Evil Dead II,1987,7.5,3349,en
Persian Lessons,2020,7.546,455,de
Manchester by the Sea,2016,7.5,6197,en
Le Corbeau,1943,7.5,303,fr
Lost Highway,1997,7.5,2827,en
Mr. Deeds Goes to Town,1936,7.5,391,en
The Consequences of Love,2004,7.545,875,it
We Need to Talk About Kevin,2011,7.544,2989,en
My Man Godfrey,1936,7.544,373,en
"4 Months, 3 Weeks and 2 Days",2007,7.5,780,ro
Malcolm X,1992,7.544,1801,en
A Few Good Men,1992,7.544,3944,en
Undisputed III: Redemption,2010,7.5,972,en
"Synecdoche, New York",2008,7.543,1524,en
Teen Titans Go! vs. Teen Titans,2019,7.5,508,en
True Romance,1993,7.542,2919,en
Predator,1987,7.542,8682,en
The Seed of the Sacred Fig,2024,7.5,392,fr
Anatomy of a Fall,2023,7.541,3030,fr
The Seven Deadly Sins: Prisoners of the Sky,2018,7.539,1062,ja
Hidden Kisses,2016,7.5,317,fr
Italian Race,2016,7.541,959,it
The Conjuring,2013,7.5,12364,en
Jules and Jim,1962,7.541,1025,fr
East of Eden,1955,7.5,785,en
Hotel Mumbai,2019,7.54,1662,en
Fury,2014,7.541,12590,en
Cold Eyes,2013,7.5,361,ko
The Wrestler,2008,7.5,3863,en
Paisan,1946,7.5,335,it
The Train,1964,7.54,351,en
The Six Triple Eight,2024,7.539,595,en
The Revenant,2015,7.538,18819,en
Captain Phillips,2013,7.539,7262,en
The Round Up,2010,7.539,1033,fr
Moulin Rouge!,2001,7.5,4718,en
Where the Crawdads Sing,2022,7.537,2115,en
The Second Tragic Fantozzi,1976,7.5,609,it
The Sandlot,1993,7.5,1268,en
Doctor Zhivago,1965,7.537,1219,en
"Good Bye, Lenin!",2003,7.537,2532,de
Anonymously Yours,2021,7.5,373,es
Donnie Brasco,1997,7.536,4696,en
Shaun of the Dead,2004,7.536,8999,en
Love Don't Co$t a Thing,2003,7.535,648,en
The Hand of God,2021,7.534,1730,it
The Bad Guys,2022,7.5,2398,en
From Up on Poppy Hill,2011,7.5,1872,ja
Au Hasard Balthazar,1966,7.5,481,fr
Sling Blade,1996,7.534,831,en
Spartacus,1960,7.5,2288,en
Exhuma,2024,7.533,596,ko
Me and Earl and the Dying Girl,2015,7.532,2679,en
The Book of Life,2014,7.533,2848,en
Somewhere in Time,1980,7.532,631,en
My Sassy Girl,2001,7.532,615,ko
Who Framed Roger Rabbit,1988,7.532,5982,en
The Greatest Beer Run Ever,2022,7.531,846,en
The Wolf's Call,2019,7.531,2108,fr
The Call of the Wild,2020,7.5,3870,en
Stray Dog,1949,7.5,335,ja
The Girl with the Dragon Tattoo,2009,7.5,3112,sv
Angels with Dirty Faces,1938,7.5,337,en
Serpico,1973,7.531,2097,en
Dark Waters,2019,7.53,2388,en
The Blue Umbrella,2013,7.5,571,en
Cure,1997,7.5,703,ja
The Iron Claw,2023,7.525,1120,en
L'Avventura,1960,7.529,733,it
Lady Vengeance,2005,7.5,1794,ko
Rurouni Kenshin Part I: Origins,2012,7.528,869,ja
Police Story,1985,7.528,977,cn
Winter Sleep,2014,7.527,598,tr
The Flu,2013,7.527,1245,ko
X-Men: Days of Future Past,2014,7.528,15895,en
The Day of the Jackal,1973,7.5,638,en
Dogman,2018,7.525,2261,it
Bāhubali: The Beginning,2015,7.526,884,te
Zodiac,2007,7.526,11181,en
Dragon Ball Z: Fusion Reborn,1995,7.525,895,ja
The Fallout,2021,7.5,1255,en
Father There Is Only One 2,2020,7.524,564,es
Lou,2017,7.524,412,en
The Body,2012,7.524,1359,es
Control,2007,7.524,892,en
The Machinist,2004,7.524,5923,en
Bringing Up Baby,1938,7.5,1030,en
"Ugly, Dirty and Bad",1976,7.5,330,it
Redline,2009,7.5,524,ja
The Ghost and Mrs. Muir,1947,7.5,336,en
My Left Foot: The Story of Christy Brown,1989,7.5,981,en
Bianca,1984,7.5,398,it
Lady Snowblood,1973,7.521,400,ja
Champions,2018,7.52,758,es
Midnight in Paris,2011,7.52,7562,en
The Holy Mountain,1973,7.5,980,es
The Manchurian Candidate,1962,7.5,766,en
Prison Break: The Final Break,2009,7.5,699,en
The Crow,1994,7.519,4355,en
Hard Boiled,1992,7.518,881,cn
The Birds,1963,7.518,4327,en
Mission: Impossible - Dead Reckoning Part One,2023,7.516,4755,en
The Man Who Wasn't There,2001,7.517,1681,en
The Passion of the Christ,2004,7.517,4961,en
Barbie: Princess Charm School,2011,7.5,847,en
Seven Chances,1925,7.516,305,en
L'Atalante,1934,7.511,448,fr
The Adventures of Pinocchio,1972,7.5,318,it
Empire of the Sun,1987,7.5,2042,en
Night on Earth,1991,7.514,994,en
To All the Boys: Always and Forever,2021,7.513,2016,en
I Can Only Imagine,2018,7.5,487,en
Sabrina,1954,7.5,1304,en
PAW Patrol: Mighty Pups,2018,7.5,585,en
Au Revoir les Enfants,1987,7.512,699,fr
The Conversation,1974,7.512,1936,en
Where Eagles Dare,1968,7.511,943,en
Shadow of a Doubt,1943,7.5,1098,en
E.T. the Extra-Terrestrial,1982,7.51,11664,en
Black Narcissus,1947,7.5,525,en
The Goonies,1985,7.51,6009,en
Training Day,2001,7.5,6326,en
Bride of Frankenstein,1935,7.5,1063,en
Rebel Without a Cause,1955,7.5,1712,en
Fatherhood,2021,7.508,1482,en
Escape from Alcatraz,1979,7.508,3019,en
Fearless,2006,7.508,1354,zh
The Call,2020,7.507,918,ko
The Castle of Cagliostro,1979,7.5,1090,ja
Sinners,2025,7.506,2982,en
Work It,2020,7.505,1201,en
Instant Family,2018,7.505,3131,en
The Book of Henry,2017,7.505,1328,en
The Great Beauty,2013,7.5,3233,it
The 36th Chamber of Shaolin,1978,7.505,471,zh
The Invisible Man,1933,7.5,907,en
My Cousin Vinny,1992,7.5,1736,en
Shang-Chi and the Legend of the Ten Rings,2021,7.504,10053,en
Souleymane's Story,2024,7.503,318,fr
Tell It to the Bees,2019,7.499,462,en
Rogue One: A Star Wars Story,2016,7.503,15997,en
Before Midnight,2013,7.503,2589,en
Wallace & Gromit: Vengeance Most Fowl,2024,7.5,574,en
The Quiet Girl,2022,7.502,513,ga
My Fair Lady,1964,7.5,1381,en
How to Steal a Million,1966,7.5,632,en
Beauty and the Beast,1946,7.502,646,fr
Hero,2002,7.502,2391,zh
The Man Who Copied,2003,7.501,365,pt
Menace II Society,1993,7.501,840,en
The French Connection,1971,7.502,2040,en
The Magnificent Seven,1960,7.501,1898,en
Emergency Declaration,2022,7.5,409,ko
Sidewalls,2011,7.5,308,es
The Silence,1963,7.5,386,sv
Midnight Cowboy,1969,7.5,1528,en
Sonatine,1993,7.5,666,ja
Kikujiro,1999,7.499,568,ja
