Title,Year,Rating,Vote Count,Language
Good Will Hunting,1997,8.157,13298,en
Vertigo,1958,8.2,6111,en
20th Century Girl,2022,8.1,776,ko
Piper,2016,8.149,1691,en
The Truman Show,1998,8.1,19525,en
The Kid,1921,8.146,2268,en
Casablanca,1943,8.145,5820,en
Capernaum,2018,8.144,1879,ar
My Hero Academia: Heroes Rising,2019,8.1,1236,ja
Singin' in the Rain,1952,8.1,3359,en
Togo,2019,8.141,2160,en
Palmer,2021,8.142,1833,en
Persona,1966,8.139,2333,sv
Central Station,1998,8.138,1004,pt
Terminator 2: Judgment Day,1991,8.135,13734,en
Dune: Part Two,2024,8.133,7254,en
Bound by Honor,1993,8.1,1465,en
My Friends,1975,8.1,726,it
Taxi Driver,1976,8.132,13009,en
Better Days,2019,8.1,517,zh
Joker,2019,8.131,27036,en
Dr. Strangelove or: How I Learned to Stop Worrying and Love the Bomb,1964,8.125,5950,en
Flow,2024,8.123,2475,lv
Jujutsu Kaisen 0,2021,8.123,1587,ja
Full Metal Jacket,1987,8.123,11097,en
Black Clover: Sword of the Wizard King,2023,8.121,338,ja
8½,1963,8.1,2445,it
How to Make Millions Before Grandma Dies,2024,8.119,323,th
Reservoir Dogs,1992,8.118,14983,en
Red Beard,1965,8.115,388,ja
Stalker,1979,8.115,2389,ru
"“The Shorts” by Aldo, Giovanni and Giacomo",1996,8.1,355,it
Green Snake,2021,8.112,345,zh
Wonder,2017,8.1,8104,en
Portrait of a Lady on Fire,2019,8.1,2809,fr
Soul,2020,8.104,11042,en
WALL·E,2008,8.104,19696,en
Double Indemnity,1944,8.1,1936,en
"Lock, Stock and Two Smoking Barrels",1998,8.1,6946,en
Zack Snyder's Justice League,2021,8.104,10506,en
Incendies,2010,8.1,3079,fr
Metropolis,1927,8.1,2971,de
Call Me by Your Name,2017,8.1,12503,en
Prisoners,2013,8.101,12603,en
"Miraculous World: New York, United HeroeZ",2020,8.091,1119,fr
Violet Evergarden: Eternity and the Auto Memory Doll,2019,8.098,425,ja
The Father,2020,8.098,3467,en
Wild Strawberries,1957,8.1,1748,sv
The Hunt,2012,8.1,4537,da
The Shop Around the Corner,1940,8.1,785,en
Big Deal on Madonna Street,1958,8.1,750,it
In the Mood for Love,2000,8.093,3087,cn
Eternal Sunshine of the Spotless Mind,2004,8.093,15841,en
There's Still Tomorrow,2023,8.092,1461,it
Yojimbo,1961,8.1,1604,ja
Mortal Kombat Legends: Scorpion's Revenge,2020,8.091,1426,en
"Paris, Texas",1984,8.1,2088,en
Doctor Who: The Time of the Doctor,2013,8.1,302,en
Some Like It Hot,1959,8.089,3718,en
The Hate U Give,2018,8.088,2188,en
The Tale of The Princess Kaguya,2013,8.1,1908,ja
La Haine,1995,8.086,4352,fr
Harry Potter and the Deathly Hallows: Part 2,2011,8.083,21470,en
Das Boot,1981,8.1,2385,de
The Invisible Guest,2017,8.083,4811,es
Sansho the Bailiff,1954,8.1,408,ja
Children of Paradise,1945,8.1,438,fr
All About Eve,1950,8.1,1627,en
There Will Be Blood,2007,8.077,7107,en
Far from the Tree,2021,8.1,383,en
The Great War,1959,8.1,363,it
New Gods: Nezha Reborn,2021,8.075,491,zh
The Thing,1982,8.1,7571,en
Prayers for Bobby,2009,8.071,609,en
To Live,1994,8.069,350,zh
The Best of Youth,2003,8.069,582,it
My Neighbor Totoro,1988,8.067,8483,ja
M,1931,8.1,2360,de
Memoir of a Snail,2024,8.064,698,en
2001: A Space Odyssey,1968,8.1,12183,en
"Three Billboards Outside Ebbing, Missouri",2017,8.061,10587,en
Purple Hearts,2022,8.057,2779,en
Pride & Prejudice,2005,8.058,8498,en
Elite Squad,2007,8.057,2593,pt
La Dolce Vita,1960,8.1,1973,it
Scenes from a Marriage,1974,8.1,387,sv
A Dog's Journey,2019,8.1,1585,en
Memories of Murder,2003,8.052,4314,ko
Hidden Figures,2016,8.051,10181,en
The Elephant Man,1980,8.049,3769,en
Sherlock Jr.,1924,8.049,1103,en
Rashomon,1950,8.047,2415,ja
KONOSUBA – God's blessing on this wonderful world! Legend of Crimson,2019,8.046,589,ja
A Taxi Driver,2017,8.046,1093,ko
Along with the Gods: The Last 49 Days,2018,8.0,717,ko
Oppenheimer,2023,8.0,11030,en
Me Against You: Mr. S's Vendetta,2020,8.0,469,it
Guillermo del Toro's Pinocchio,2022,8.04,3192,en
Lion,2016,8.042,6807,en
A Special Day,1977,8.0,728,it
Ran,1985,8.041,1709,ja
The Lives of Others,2006,8.038,3938,de
Look Back,2024,8.037,435,ja
Believe Me: The Abduction of Lisa McVey,2018,8.034,667,en
Along with the Gods: The Two Worlds,2017,8.0,1135,ko
Ne Zha 2,2025,8.024,475,zh
How to Train Your Dragon: Homecoming,2019,8.0,1069,en
The Grand Budapest Hotel,2014,8.033,15563,en
The Second Mother,2015,8.031,763,pt
My Name Is Khan,2010,8.03,1386,hi
The Young and the Damned,1950,8.0,513,es
The Wolf of Wall Street,2013,8.026,25230,en
Amadeus,1984,8.026,4551,en
The 400 Blows,1959,8.0,2249,fr
Transformers One,2024,8.023,1456,en
On My Skin,2018,8.0,1872,it
The Sting,1973,8.022,2814,en
Paper Lives,2021,8.0,398,tr
Kill Bill: The Whole Bloody Affair,2011,8.019,1112,en
"Rome, Open City",1945,8.019,947,it
"Veinteañera, divorciada y fantástica",2020,8.0,390,es
Scooby-Doo! and KISS: Rock and Roll Mystery,2015,8.0,333,en
Ayla: The Daughter of War,2017,8.0,380,tr
For a Few Dollars More,1965,8.0,4265,it
Judgment at Nuremberg,1961,8.016,884,en
Requiem for a Dream,2000,8.013,10613,en
Bo Burnham: Make Happy,2016,8.0,415,en
Hachi: A Dog's Tale,2009,8.011,6981,en
Harry Potter and the Prisoner of Azkaban,2004,8.01,22596,en
The Wages of Fear,1953,8.0,1026,fr
Bo Burnham: Inside,2021,8.0,565,en
Flipped,2010,8.0,3221,en
Late Spring,1949,8.0,449,ja
Ford v Ferrari,2019,8.007,8617,en
Dial M for Murder,1954,8.0,2753,en
"Toto, Peppino, and the Hussy",1956,8.0,363,it
American Beauty,1999,8.004,12665,en
Gifted,2017,8.001,5802,en
Song of the Sea,2014,8.0,1519,en
Ugetsu,1953,8.0,622,ja
Robot Dreams,2023,7.998,729,es
Room,2015,7.998,9492,en
Rocco and His Brothers,1960,8.0,635,it
Lawrence of Arabia,1962,8.0,3270,en
3 Idiots,2009,7.997,2578,hi
Citizen Kane,1941,7.997,5827,en
Black Beauty,2020,8.0,348,en
Jojo Rabbit,2019,7.995,10073,en
Paperman,2012,8.0,1758,en
To Kill a Mockingbird,1962,7.994,2756,en
Weathering with You,2019,7.993,2508,ja
The Passion of Joan of Arc,1928,8.0,1038,fr
Casino,1995,7.993,6277,en
Loving Vincent,2017,8.0,2544,en
The Imitation Game,2014,7.99,17672,en
Nights of Cabiria,1957,8.0,819,it
Barry Lyndon,1975,7.99,3044,en
Gran Torino,2008,7.989,11224,en
How to Train Your Dragon,2025,7.987,2236,en
Tae Guk Gi: The Brotherhood of War,2004,7.988,739,ko
1917,2019,7.986,13120,en
In a Heartbeat,2017,8.0,1010,en
Beyond the Universe,2022,7.99,337,pt
Love Hurts,2002,8.0,346,es
Society of the Snow,2023,7.983,3321,es
El mesero,2021,8.0,355,es
"Love, Simon",2018,7.983,6171,en
Bingo: The King of the Mornings,2017,7.983,401,pt
Cruella,2021,7.983,9804,en
The Deer Hunter,1978,7.982,4072,en
The Gold Rush,1925,7.982,1742,en
North by Northwest,1959,8.0,4337,en
Autumn Sonata,1978,7.979,669,sv
Catch Me If You Can,2002,7.979,16542,en
Sound of Freedom,2023,7.977,2641,en
Like Stars on Earth,2007,7.977,1260,hi
The Red Shoes,1948,8.0,713,en
Nobody Knows,2004,7.972,599,ja
The Hidden Fortress,1958,8.0,664,ja
Before Sunrise,1995,7.972,4490,en
The Secret in Their Eyes,2009,7.971,2732,es
Toy Story,1995,7.971,19336,en
Flamin' Hot,2023,7.969,778,en
Kill Bill: Vol. 1,2003,7.969,18336,en
Andrei Rublev,1966,7.968,900,ru
Three Men and a Leg,1997,7.966,2123,it
Chungking Express,1994,8.0,2063,cn
Castle in the Sky,1986,7.966,4495,ja
Bohemian Rhapsody,2018,7.965,17413,en
Jurassic Park,1993,7.963,17293,en
Up,2009,7.96,21119,en
Sanjuro,1962,8.0,682,ja
Trainspotting,1996,7.96,10108,en
Aliens,1986,7.956,10456,en
The Iron Giant,1999,7.955,5949,en
Ordet,1955,8.0,393,da
The Treasure of the Sierra Madre,1948,8.0,1279,en
Million Dollar Baby,2004,8.0,10075,en
Farewell My Concubine,1993,8.0,640,zh
The Way He Looks,2014,7.952,966,pt
Tel chi el telùn,1999,7.952,330,it
Kitbull,2019,7.951,388,en
Nausicaä of the Valley of the Wind,1984,7.95,3883,ja
The Count of Monte Cristo,2024,7.9,1838,fr
The Exterminating Angel,1962,7.949,701,es
Whisper of the Heart,1995,7.9,2175,ja
Close-Up,1990,7.947,426,fa
No Country for Old Men,2007,7.947,12829,en
The Sixth Sense,1999,7.947,12413,en
"Red, White & Royal Blue",2023,7.945,1461,en
All Your Faces,2023,7.944,650,fr
Miraculous World: Shanghai - The Legend of Ladydragon,2021,7.9,673,fr
Love Exposure,2009,7.9,493,ja
Mirror,1975,7.944,1039,ru
It's Such a Beautiful Day,2012,7.943,358,en
A Man Escaped,1956,7.943,587,fr
Pink Floyd: The Wall,1982,7.943,1589,en
Rope,1948,7.944,2892,en
Blade Runner,1982,7.943,14518,en
Braveheart,1995,7.942,10723,en
I'm Still Here,2024,7.94,885,pt
The Great Escape,1963,7.9,2717,en
Akira,1988,7.9,4570,ja
12 Years a Slave,2013,7.937,11702,en
Spider-Man: No Way Home,2021,7.936,21330,en
The Boy and the Beast,2015,7.936,1551,ja
Monster,2023,7.934,791,ja
La Notte,1961,7.9,715,it
The Circus,1928,7.9,859,en
When Marnie Was There,2014,7.9,1898,ja
Guardians of the Galaxy Vol. 3,2023,7.932,7818,en
The General,1926,7.9,1351,en
We Are the Nobles,2013,7.927,524,es
Don't Look Now... We're Being Shot At!,1966,7.9,1417,fr
The Cure,1995,7.9,336,en
Me Before You,2016,7.926,12905,en
The Postman,1994,7.926,1185,it
